row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
81485,95.0,25000,165000.0,49.952,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,9.63,2,7,1
65936,38.0,145000,155000.0,97.0,43%-<50%,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,2,7,1
94859,35.0,55000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Originated,5.89,2,7,1
12254,55.0,245000,655000.0,48.193,50%-60%,White,Refinance,Principal_Residence,Denied,20.35,4,2,0
83717,63.0,205000,345000.0,57.988,36%-<43%,White,Refinance,Principal_Residence,Originated,14.85,0,6,6
80145,160.0,65000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,13.1,3,1,2
6956,900.0,1505000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,6.42,5,3,6
87263,185.0,325000,405000.0,80.0,<20%,White,Home_Purchase,Principal_Residence,Originated,46.01,2,7,5
61213,55.0,105000,595000.0,16.77,>60%,White,Refinance,Principal_Residence,Denied,59.19,4,2,0
15643,123.0,185000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,12.85,0,6,6
49126,90.0,355000,355000.0,100.0,50%-60%,White,Home_Purchase,Principal_Residence,Originated,26.27,4,2,0
78455,99.0,495000,505000.0,96.5,50%-60%,Black or African American,Home_Purchase,Principal_Residence,Preapproval_Denied,0.0,4,2,0
85632,122.0,405000,395000.0,100.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,30.37,2,7,1
49922,84.0,85000,315000.0,74.89,36%-<43%,White,Other,Principal_Residence,Originated,16.31,6,4,4
52724,81.0,335000,375000.0,90.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,38.7,2,7,5
83927,95.0,1195000,1545000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,9.41,2,7,1
16353,172.0,315000,415000.0,75.0,36%-<43%,White,Home_Purchase,Investment,Originated,62.37,1,5,3
33284,110.0,395000,405000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,49.34,2,7,5
72345,95.0,355000,1005000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,36.27,1,5,3
2424,38.0,155000,245000.0,60.24,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,27.83,2,7,1
52076,95.0,315000,395000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,22.42,0,6,6
5727,85.0,25000,155000.0,52.881,36%-<43%,White,Other,Principal_Residence,Denied,31.18,3,1,2
77515,183.0,285000,725000.0,39.449,20%-<30%,White,CashOut_Refinance,Principal_Residence,Denied,35.88,0,6,6
59219,81.0,245000,305000.0,80.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,5.47,2,7,1
24398,189.0,245000,275000.0,90.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,31.98,2,7,1
25227,89.0,85000,135000.0,65.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,74.27,3,1,2
2396,48.0,105000,325000.0,33.34,30%-<36%,White,Refinance,Principal_Residence,Originated,47.04,0,6,6
76529,95.0,45000,65000.0,78.353,Unknown,Race Not Available,NotApplicable,Principal_Residence,Purchased,31.29,2,7,1
43981,61.0,25000,555000.0,39.647,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,26.44,6,4,4
