row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
43968,0,34.0,155000,255000.0,60.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,14.65,1
23975,5,65.0,145000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Withdrawn,50.11,4
85320,0,45.0,135000,225000.0,59.211,36%-<43%,White,Other,Principal_Residence,Originated,43.95,1
19019,6,148.0,105000,605000.0,86.162,>60%,Black or African American,Home_Improvement,Principal_Residence,Originated,41.16,0
27006,6,52.0,335000,355000.0,94.821,50%-60%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,22.2,0
30645,0,95.0,815000,1085000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,14.04,1
12363,1,409.0,905000,1205000.0,75.0,20%-<30%,Race Not Available,Home_Purchase,Principal_Residence,Originated,20.51,1
55283,6,96.0,505000,635000.0,80.0,>60%,Race Not Available,Home_Purchase,Principal_Residence,Denied,45.3,0
41123,3,95.0,255000,265000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Originated,39.54,6
1058,3,125.0,535000,825000.0,65.698,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,16.32,6
36466,0,138.0,415000,525000.0,77.143,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,34.99,1
7764,3,120.0,645000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,48.15,6
38691,3,95.0,95000,155000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,33.41,6
5801,0,185.0,845000,375000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Originated,64.85,5
648,5,150.0,35000,285000.0,74.0,43%-<50%,White,Other,Principal_Residence,Originated,6.66,4
90516,6,0.0,165000,195000.0,78.353,>60%,White,Refinance,Principal_Residence,Denied,14.32,0
57122,0,45.0,85000,125000.0,65.36,<20%,American Indian or Alaska Native,Home_Purchase,Principal_Residence,Originated,57.65,5
27885,0,95.0,185000,235000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,38.75,1
91393,3,78.0,175000,275000.0,64.568,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,38.36,6
78134,0,109.0,495000,495000.0,100.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Originated,17.25,1
28209,0,141.0,265000,265000.0,96.47,36%-<43%,White,Home_Purchase,Principal_Residence,Denied,8.44,1
13651,4,95.0,65000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Denied,50.99,2
18933,3,50.0,235000,295000.0,79.866,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,88.71,6
